epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,31.521,1.40406,2.8766,1.20713,0.06102,0.26488,0.14306,0.11052,1.33362,3.39062,1.11293,0.000219614,0.000219614,0.000219614
42,32.2356,1.4837,2.818,1.22308,0.06102,0.26488,0.14306,0.11052,1.33362,3.39062,1.11293,0.000221415,0.000221415,0.000221415
43,32.9863,1.45981,2.88404,1.25825,0.07478,0.34301,0.17687,0.12716,1.29537,3.29548,1.09919,0.000223036,0.000223036,0.000223036
44,33.6969,1.24829,2.75479,1.18965,0.07478,0.34301,0.17687,0.12716,1.29537,3.29548,1.09919,0.000224477,0.000224477,0.000224477
45,34.474,1.64193,3.11103,1.34116,0.07798,0.35863,0.20713,0.14855,1.30659,3.17255,1.09588,0.000225737,0.000225737,0.000225737
46,35.177,1.44384,2.65364,1.23509,0.07798,0.35863,0.20713,0.14855,1.30659,3.17255,1.09588,0.000226818,0.000226818,0.000226818
47,35.9313,1.44017,2.71807,1.21103,0.07566,0.35863,0.22386,0.17018,1.27594,3.04408,1.07824,0.000227719,0.000227719,0.000227719
48,36.6309,1.2529,2.47121,1.21184,0.07566,0.35863,0.22386,0.17018,1.27594,3.04408,1.07824,0.00022844,0.00022844,0.00022844
49,37.408,1.4467,2.43842,1.20005,0.5775,0.24958,0.23251,0.17354,1.2617,2.94385,1.08017,0.000228981,0.000228981,0.000228981
50,38.1078,1.17292,2.47223,1.10414,0.5775,0.24958,0.23251,0.17354,1.2617,2.94385,1.08017,0.000229342,0.000229342,0.000229342
51,38.8983,1.43959,2.40936,1.13789,0.86524,0.11458,0.27004,0.19929,1.26935,2.87439,1.08796,0.000229523,0.000229523,0.000229523
52,39.6332,1.43366,2.57353,1.1674,0.86524,0.11458,0.27004,0.19929,1.26935,2.87439,1.08796,0.000229523,0.000229523,0.000229523
53,40.3539,1.58375,2.74171,1.29257,0.86524,0.11458,0.27004,0.19929,1.26935,2.87439,1.08796,0.000229344,0.000229344,0.000229344
54,41.0964,1.34326,2.55785,1.06094,0.85136,0.12426,0.30234,0.21952,1.29278,2.83916,1.0999,0.000228985,0.000228985,0.000228985
55,41.8242,1.40272,2.49874,1.18507,0.85136,0.12426,0.30234,0.21952,1.29278,2.83916,1.0999,0.000228446,0.000228446,0.000228446
56,42.5707,1.6879,2.45743,1.25868,0.85136,0.12426,0.30234,0.21952,1.29278,2.83916,1.0999,0.000227727,0.000227727,0.000227727
57,43.3315,1.54004,2.67583,1.21336,0.53589,0.32664,0.33534,0.24063,1.27691,2.81113,1.09665,0.000226828,0.000226828,0.000226828
58,44.0819,1.22328,2.49952,1.05351,0.53589,0.32664,0.33534,0.24063,1.27691,2.81113,1.09665,0.000225749,0.000225749,0.000225749
59,44.7976,1.55577,2.74864,1.29282,0.53589,0.32664,0.33534,0.24063,1.27691,2.81113,1.09665,0.00022449,0.00022449,0.00022449
60,45.6519,1.48729,2.31563,1.34784,0.65059,0.2304,0.36077,0.25896,1.29784,2.75547,1.1036,0.000223051,0.000223051,0.000223051
61,46.3832,1.31025,2.11974,1.12632,0.65059,0.2304,0.36077,0.25896,1.29784,2.75547,1.1036,0.000221432,0.000221432,0.000221432
62,47.1118,1.39154,2.42642,1.07536,0.65059,0.2304,0.36077,0.25896,1.29784,2.75547,1.1036,0.000219633,0.000219633,0.000219633
63,47.8825,1.30862,2.17483,1.14609,0.67992,0.22362,0.36591,0.26194,1.29429,2.71329,1.11241,0.000217655,0.000217655,0.000217655
64,48.6045,1.44836,2.15632,1.17951,0.67992,0.22362,0.36591,0.26194,1.29429,2.71329,1.11241,0.000215496,0.000215496,0.000215496
65,49.3532,1.49067,2.4711,1.11679,0.67992,0.22362,0.36591,0.26194,1.29429,2.71329,1.11241,0.000213157,0.000213157,0.000213157
66,50.1021,1.22982,2.49842,1.08156,0.66037,0.24846,0.38896,0.27406,1.27395,2.68758,1.11352,0.000210638,0.000210638,0.000210638
67,50.814,1.57928,2.37831,1.24413,0.66037,0.24846,0.38896,0.27406,1.27395,2.68758,1.11352,0.000207939,0.000207939,0.000207939
68,51.4949,1.33227,1.99218,1.1777,0.66037,0.24846,0.38896,0.27406,1.27395,2.68758,1.11352,0.00020506,0.00020506,0.00020506
69,52.2314,1.19436,2.21358,1.11346,0.68352,0.2394,0.39108,0.27885,1.24623,2.60783,1.11116,0.000202002,0.000202002,0.000202002
70,52.9277,1.20928,1.77948,1.14548,0.68352,0.2394,0.39108,0.27885,1.24623,2.60783,1.11116,0.000198763,0.000198763,0.000198763
71,53.6681,1.30308,2.09376,1.09883,0.68352,0.2394,0.39108,0.27885,1.24623,2.60783,1.11116,0.000195344,0.000195344,0.000195344
72,54.4846,1.47596,2.57757,1.17264,0.73851,0.29324,0.4219,0.29672,1.23237,2.51421,1.10864,0.000191745,0.000191745,0.000191745
73,55.206,1.46125,2.06854,1.13298,0.73851,0.29324,0.4219,0.29672,1.23237,2.51421,1.10864,0.000187967,0.000187967,0.000187967
74,55.9001,1.32892,2.08292,1.22607,0.73851,0.29324,0.4219,0.29672,1.23237,2.51421,1.10864,0.000184008,0.000184008,0.000184008
75,56.6733,1.56541,2.26343,1.22139,0.67178,0.31866,0.44952,0.3198,1.22505,2.43313,1.10563,0.000179869,0.000179869,0.000179869
76,57.3806,1.38349,2.17951,1.17408,0.67178,0.31866,0.44952,0.3198,1.22505,2.43313,1.10563,0.000175551,0.000175551,0.000175551
77,58.1057,1.54068,2.20887,1.18159,0.67178,0.31866,0.44952,0.3198,1.22505,2.43313,1.10563,0.000171052,0.000171052,0.000171052
78,58.869,1.41986,1.99842,1.19043,0.65994,0.34336,0.47259,0.33431,1.22254,2.35952,1.09659,0.000166373,0.000166373,0.000166373
79,59.6205,1.17981,1.63005,1.1235,0.65994,0.34336,0.47259,0.33431,1.22254,2.35952,1.09659,0.000161515,0.000161515,0.000161515
80,60.3834,1.57992,2.2042,1.12899,0.65994,0.34336,0.47259,0.33431,1.22254,2.35952,1.09659,0.000156476,0.000156476,0.000156476
81,61.2344,1.40105,1.96808,1.23584,0.65254,0.35452,0.48819,0.34772,1.19085,2.24681,1.07362,0.000151258,0.000151258,0.000151258
82,61.9587,1.32752,2.30267,1.09596,0.65254,0.35452,0.48819,0.34772,1.19085,2.24681,1.07362,0.000145859,0.000145859,0.000145859
83,62.655,1.22712,1.87614,1.18158,0.65254,0.35452,0.48819,0.34772,1.19085,2.24681,1.07362,0.000140281,0.000140281,0.000140281
84,63.4359,2.06853,2.30734,1.42528,0.63817,0.37763,0.4977,0.35987,1.14547,2.08751,1.04924,0.000134522,0.000134522,0.000134522
85,64.1799,1.12627,1.82564,1.07684,0.63817,0.37763,0.4977,0.35987,1.14547,2.08751,1.04924,0.000128584,0.000128584,0.000128584
86,64.9021,1.58563,1.8534,1.20628,0.63817,0.37763,0.4977,0.35987,1.14547,2.08751,1.04924,0.000122465,0.000122465,0.000122465
87,65.6678,1.08966,1.56207,1.03786,0.63817,0.37763,0.4977,0.35987,1.14547,2.08751,1.04924,0.000116167,0.000116167,0.000116167
88,66.4385,1.22373,1.81469,1.11338,0.61966,0.4288,0.5073,0.37133,1.0969,1.94784,1.02844,0.000109688,0.000109688,0.000109688
89,67.2078,1.37665,1.83713,1.20421,0.61966,0.4288,0.5073,0.37133,1.0969,1.94784,1.02844,0.00010303,0.00010303,0.00010303
90,67.9183,1.30034,2.0029,1.15741,0.61966,0.4288,0.5073,0.37133,1.0969,1.94784,1.02844,9.61913e-05,9.61913e-05,9.61913e-05
